"vehicle_type","avg_price","avg_demand","count","time","diff"
"Truck","12.798817342046776","0.3719265120743306","963","1751867971726","-1"
"Car","12.478862170284938","0.3260335493920638","6552","1751867971726","-1"
"Car","12.475873648029298","0.3255301294406124","6693","1751867971726","1"
"Bike","12.333591002035547","0.3059396387008487","1942","1751867971726","1"
"Truck","12.796757823110962","0.37154308203891684","983","1751867971726","1"
"Truck","12.796757823110962","0.37154308203891684","983","1751867973286","-1"
"Bike","12.333591002035547","0.3059396387008487","1942","1751867973286","-1"
"Car","12.475873648029298","0.3255301294406124","6693","1751867973286","-1"
"Car","12.477408472863864","0.32570167207719875","6840","1751867973286","1"
"Truck","12.799698086648222","0.37187185519098026","1008","1751867973286","1"
"Bike","12.334691606778094","0.3060492684027893","1986","1751867973286","1"
"Truck","12.799698086648222","0.37187185519098026","1008","1751867975852","-1"
"Bike","12.334691606778094","0.3060492684027893","1986","1751867975852","-1"
"Car","12.477408472863864","0.32570167207719875","6840","1751867975852","-1"
"Car","12.482539903350341","0.3263747537591698","7162","1751867975852","1"
"Truck","12.801611034420134","0.3720685633986354","1042","1751867975852","1"
"Bike","12.336634215593392","0.30624286250040844","2069","1751867975852","1"
"Bike","12.336634215593392","0.30624286250040844","2069","1751867977880","-1"
"Truck","12.801611034420134","0.3720685633986354","1042","1751867977880","-1"
"Car","12.482539903350341","0.3263747537591698","7162","1751867977880","-1"
"Car","12.477986452414914","0.3256997327964867","7351","1751867977880","1"
"Bike","12.332158864872776","0.3055464638584517","2133","1751867977880","1"
"Truck","12.791841326728644","0.37069507656290135","1064","1751867977880","1"
"Bike","12.332158864872776","0.3055464638584517","2133","1751867979356","-1"
"Truck","12.791841326728644","0.37069507656290135","1064","1751867979356","-1"
"Car","12.477986452414914","0.3256997327964867","7351","1751867979356","-1"
"Car","12.453710155614973","0.3224119356715576","7479","1751867979356","1"
"Bike","12.301272729383575","0.30141006672561027","2178","1751867979356","1"
"Truck","12.75834011381916","0.36605282240377596","1090","1751867979356","1"
"Bike","12.301272729383575","0.30141006672561027","2178","1751867981316","-1"
"Truck","12.75834011381916","0.36605282240377596","1090","1751867981316","-1"
"Car","12.453710155614973","0.3224119356715576","7479","1751867981316","-1"
"Car","12.433091803126187","0.31960387161350456","7613","1751867981316","1"
"Bike","12.272732227899052","0.29756530150840543","2229","1751867981316","1"
"Truck","12.738257380785948","0.3632162074888881","1112","1751867981316","1"
"Bike","12.272732227899052","0.29756530150840543","2229","1751867982850","-1"
"Truck","12.738257380785948","0.3632162074888881","1112","1751867982850","-1"
"Car","12.433091803126187","0.31960387161350456","7613","1751867982850","-1"
"Car","12.410540498548624","0.3165507902298574","7760","1751867982850","1"
"Bike","12.255359707324851","0.2952352692691278","2261","1751867982850","1"
"Truck","12.7093000025175","0.359197382930108","1143","1751867982850","1"
"Bike","12.255359707324851","0.2952352692691278","2261","1751867984950","-1"
"Truck","12.7093000025175","0.359197382930108","1143","1751867984950","-1"
"Car","12.410540498548624","0.3165507902298574","7760","1751867984950","-1"
"Car","12.381346075489306","0.31258474071214615","7971","1751867984950","1"
"Bike","12.223325495566085","0.2909334446768434","2331","1751867984950","1"
"Truck","12.683102737944608","0.3555252486687183","1172","1751867984950","1"
"Bike","12.223325495566085","0.2909334446768434","2331","1751867986680","-1"
"Truck","12.683102737944608","0.3555252486687183","1172","1751867986680","-1"
"Car","12.381346075489306","0.31258474071214615","7971","1751867986680","-1"
"Car","12.358579159460442","0.30948738377908386","8132","1751867986680","1"
"Bike","12.203312287401689","0.2882478120163285","2378","1751867986680","1"
"Truck","12.665804995382896","0.35312422059047033","1192","1751867986680","1"
"Bike","12.203312287401689","0.2882478120163285","2378","1751867989770","-1"
"Truck","12.665804995382896","0.35312422059047033","1192","1751867989770","-1"
"Car","12.358579159460442","0.30948738377908386","8132","1751867989770","-1"
"Car","12.350832871434445","0.308359037652833","8359","1751867989770","1"
"Bike","12.196526919337972","0.2872263587238579","2450","1751867989770","1"
"Truck","12.654114546396297","0.3513849852283637","1230","1751867989770","1"
"Truck","12.654114546396297","0.3513849852283637","1230","1751867992180","-1"
"Bike","12.196526919337972","0.2872263587238579","2450","1751867992180","-1"
"Car","12.350832871434445","0.308359037652833","8359","1751867992180","-1"
"Car","12.351064772343046","0.30838860285469505","8605","1751867992180","1"
"Bike","12.195140524121989","0.2870213641693237","2513","1751867992180","1"
"Truck","12.658206354469518","0.3520380454326903","1251","1751867992180","1"
"Bike","12.195140524121989","0.2870213641693237","2513","1751867993870","-1"
"Truck","12.658206354469518","0.3520380454326903","1251","1751867993870","-1"
"Car","12.351064772343046","0.30838860285469505","8605","1751867993870","-1"
"Car","12.355331682150155","0.3089637895639413","8777","1751867993870","1"
"Truck","12.657204571373404","0.35188552817240826","1264","1751867993870","1"
"Bike","12.198497418616483","0.28745562314617157","2549","1751867993870","1"
"Truck","12.657204571373404","0.35188552817240826","1264","1751867996148","-1"
"Bike","12.198497418616483","0.28745562314617157","2549","1751867996148","-1"
