"day_category","avg_price","avg_demand","count","time","diff"
"weekday","12.527135820287851","0.33358919479146426","3522","1751867936356","1"
"weekend","12.406749277584124","0.3184754255524419","1350","1751867936356","1"
"weekday","12.527135820287851","0.33358919479146426","3522","1751867937364","-1"
"weekend","12.406749277584124","0.3184754255524419","1350","1751867937364","-1"
"weekday","12.542541113566159","0.3358177186488876","3653","1751867937364","1"
"weekend","12.410550850331605","0.31896053531075463","1368","1751867937364","1"
"weekday","12.542541113566159","0.3358177186488876","3653","1751867938456","-1"
"weekend","12.410550850331605","0.31896053531075463","1368","1751867938456","-1"
"weekday","12.55290321548151","0.3371449016716014","3756","1751867938456","1"
"weekend","12.429402562743991","0.3215008279044818","1404","1751867938456","1"
"weekend","12.429402562743991","0.3215008279044818","1404","1751867939770","-1"
"weekday","12.55290321548151","0.3371449016716014","3756","1751867939770","-1"
"weekday","12.549097564059446","0.33648342695949573","3880","1751867939770","1"
"weekend","12.429918558733696","0.3214622550118627","1458","1751867939770","1"
"weekend","12.429918558733696","0.3214622550118627","1458","1751867940888","-1"
"weekday","12.549097564059446","0.33648342695949573","3880","1751867940888","-1"
"weekend","12.389908744501275","0.31592835833815863","1512","1751867940888","1"
"weekday","12.534428538595717","0.33434153221514157","3992","1751867940888","1"
"weekend","12.389908744501275","0.31592835833815863","1512","1751867941976","-1"
"weekday","12.534428538595717","0.33434153221514157","3992","1751867941976","-1"
"weekend","12.367679268561906","0.31281520099523835","1548","1751867941976","1"
"weekday","12.517345723387301","0.3318689448344309","4110","1751867941976","1"
"weekday","12.517345723387301","0.3318689448344309","4110","1751867943542","-1"
"weekend","12.367679268561906","0.31281520099523835","1548","1751867943542","-1"
"weekend","12.33192655884597","0.3077821281018113","1617","1751867943542","1"
"weekday","12.523107979325303","0.3326992023317898","4204","1751867943542","1"
"weekend","12.33192655884597","0.3077821281018113","1617","1751867945028","-1"
"weekday","12.523107979325303","0.3326992023317898","4204","1751867945028","-1"
"weekend","12.313555829766722","0.3051959336598","1656","1751867945028","1"
"weekday","12.516802981255093","0.33172515767915517","4365","1751867945028","1"
"weekend","12.313555829766722","0.3051959336598","1656","1751867946498","-1"
"weekday","12.516802981255093","0.33172515767915517","4365","1751867946498","-1"
"weekend","12.295962849821377","0.3026383320644069","1728","1751867946498","1"
"weekday","12.513554495618001","0.33121579924507694","4500","1751867946498","1"
"weekend","12.295962849821377","0.3026383320644069","1728","1751867948500","-1"
"weekday","12.513554495618001","0.33121579924507694","4500","1751867948500","-1"
"weekend","12.289266136894595","0.3015778599144992","1786","1751867948500","1"
"weekday","12.506844970263153","0.3301434971044944","4742","1751867948500","1"
"weekend","12.289266136894595","0.3015778599144992","1786","1751867950522","-1"
"weekday","12.506844970263153","0.3301434971044944","4742","1751867950522","-1"
